Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гайворонська,Роксолана,Романівна,Жіноча,1964-02-26,Швачка,хутір Ізюм,"сквер Гімназична, буд. 816, Старобільськ, 94364",069 221-23-76,ostap68@example.org
Пелех,Дарина,Федорівна,Жіноча,1968-05-20,Промисловець,місто Тальне,"площа Віри Фігнер, буд. 10, Чернівці, 63565",017 691 50 88,boleslav83@example.net
Василевич,Лариса,Олександрівна,Жіноча,1952-05-26,Патологоанатом,місто Красноград,"вулиця Верещагіна, буд. 9, Красноград, 81281",+380 (20) 952-26-57,oleh48@example.net
Терещенко,Онисим,Олександрович,Чоловіча,1962-01-15,Медик,селище Попасна,"узвіз Ольгіївський узвіз, буд. 3 кв. 44, Українка , 71790",003 807 26 54,fandroshchuk@example.org
Павленко,Орися,Іванівна,Жіноча,1987-05-11,Вчитель,хутір Герца,"узвіз Юрженка Олександра, буд. 9, Кадіївка, 17254",027 662 55 21,oleksandrievtushok@example.org
Голик,Антон,Юрійович,Чоловіча,1978-03-31,Слідчий,місто Хрустальний,"проспект Парковий, буд. 73, Дебальцеве, 43735",+380 (10) 310-77-81,havrylo84@example.com
Лубенець,Олекса,Миколайович,Чоловіча,1989-03-02,Диригент,селище Вижниця,"проспект Лінія 27-ма, буд. 7, Київ, 16161",219 24 82,leonmakarenko@example.net
Єфименко,Іван,Леонідович,Чоловіча,1989-12-20,Головний меркшейдер,місто Сєвєродонецьк,"парк Мала Арнаутська, буд. 596 кв. 8, П'ятихатки, 69202",086 589 47 66,sdemianiuk@example.net
Гайда,Лесь,Васильович,Чоловіча,1993-11-02,Ветеринар,місто Южне,"узвіз Чорноморський 8-й, буд. 81, Амвросіївка, 79493",980 18 08,smykhlib@example.com
Жученко,Борислав,Миколайович,Чоловіча,1953-11-21,Гірник,селище Рені,"вулиця Тарутинська, буд. 99 кв. 499, Рудки, 47503",821 07 54,cvlasenko@example.net
Шморгун,Богуслава,Богданівна,Жіноча,1991-07-18,Агроном,місто Українськ,"площа Байкальська, буд. 659, Узин, 76500",+380 (91) 861-32-93,nkhorishko@example.net
Байрак,Іван,Васильович,Чоловіча,1950-08-19,Детектив,місто Помічна,"парк Учительський, буд. 34, Городенка, 81610",+380 04 878 49 30,heorhii29@example.org
Дзюба,Петро,Федорович,Чоловіча,1955-06-28,Диригент,село Нововолинськ,"узвіз Маковий, буд. 5 кв. 5, Мала Виска, 07668",734-28-54,psachenko@example.com
Вишивана,Михайлина,Богданівна,Жіноча,2007-05-16,Археолог,село Буча,"узвіз Картамишевська, буд. 76 кв. 45, Новомиргород, 25501",+380 51 927 97 76,iatseniukiaroslav@example.net
Їжак,Григорій,Михайлович,Чоловіча,1993-07-25,Композитор,місто Олександрівськ,"вулиця Східчастий, буд. 38 кв. 183, Лутугине, 48552",702 71 73,marynabatih@example.net
Вергун,Микита,Богданович,Чоловіча,1976-06-18,Адвокат,село Бахмут,"площа Університетський, буд. 26, Переяслав, 65741",091 707-91-12,bohdanarsenych@example.org
Дурдинець,Анжела,Степанівна,Жіноча,1978-07-07,Петрограф,селище Торецьк,"шосе 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 9 кв. 790, Моспине, 43260",824-60-60,abandurka@example.net
Охримович,Варвара,Василівна,Жіноча,1994-04-20,Реставратор,селище Кременець,"сквер Десантний, буд. 835, Бережани, 17686",+380 22 846 01 53,ievtushenkobohuslava@example.com
Бандура,Теодор,Леонідович,Чоловіча,1959-08-10,Фольклорист,місто Верхівцеве,"узвіз Мостовий, буд. 1, Іловайськ, 25863",015 192-40-06,ielysei94@example.com
Фоменко,Ярина,Романівна,Жіноча,1939-07-29,Краєзнавець,селище Монастириська,"шосе Кондренка, буд. 06, Тульчин, 98363",008 771 01 43,avreliihavrylyshyn@example.org
Рева,Валерій,Макарович,Чоловіча,1975-04-28,Державний службовець,місто Подільськ,"вулиця Парковий, буд. 0, Нетішин, 92629",+380 08 808 02 19,orynatokar@example.org
Лавренко,Маруся,Олегівна,Жіноча,1963-11-27,Бізнесмен,селище Міусинськ,"проспект 5-та Суворовська, буд. 31 кв. 5, Обухів, 77736",+380 82 985-86-76,orobetsstefan@example.net
Теліженко,Аліна,Миколаївна,Жіноча,1962-02-10,Агроном,селище Нікополь,"набережна Тепличний 2-й, буд. 86 кв. 38, Золоте, 61492",380-84-50,oonishchuk@example.org
Скопенко,Артем,Миколайович,Чоловіча,1976-04-10,Акушер,село Маріуполь,"сквер Авдєєва-Чорноморського, буд. 86 кв. 605, Чуднів, 25417",+380 (20) 627-62-81,hunkomykhailyna@example.net
Затула,Емілія,Леонідівна,Жіноча,2004-09-13,Фрілансер,селище Броди,"набережна Дігтярна, буд. 98, Городок, 69469",019 938-54-61,nestorchekaliuk@example.net
Башполченко,Ада,Василівна,Жіноча,1975-12-17,Електротехнік,селище Радехів,"сквер Преображенська, буд. 280, Южне, 67291",+380 72 971-18-15,illia15@example.com
Ґжицька,Ірена,Миколаївна,Жіноча,1967-03-26,Флорист,село Болград,"набережна Толбухіна, буд. 9 кв. 38, Білицьке, 45073",+380 (51) 733-71-92,hryhoriiiashchenko@example.com
Опанасенко,Прохір,Миколайович,Чоловіча,1991-03-19,Підприємець,селище Дніпрорудне,"вулиця Чапаєва 2-й, буд. 84, Суми, 13204",757-97-97,makar72@example.org
Кириленко,Валентина,Федорівна,Жіноча,1997-01-29,Краєзнавець,хутір Нова Каховка,"шосе Аеропортівський 1-й, буд. 5 кв. 7, Зборів, 20536",065 416-74-40,thabelko@example.net
Худяк,Святослава,Олександрівна,Жіноча,1974-10-31,Літературознавець,місто Конотоп,"сквер Лінія 38-ма, буд. 25, Дубно, 17738",097 483-64-52,ieromenkoolha@example.org
Палій,Сніжана,Богданівна,Жіноча,1964-01-19,Будник,хутір Чернівці,"вулиця Садова 6-та, буд. 44 кв. 2, Зборів, 30213",004 902 50 59,avramchuksofiia@example.com
Фоменко,Кирило,Євгенович,Чоловіча,1992-12-20,Соціолог,місто Балта,"шосе Надіїі, буд. 4 кв. 914, Ковель, 05618",887 46 24,onysym01@example.net
Архипенко,Геннадій,Васильович,Чоловіча,1957-04-05,Правник,хутір Кам'янка (Черкаська область),"шосе Привозна, буд. 421, Берислав, 68621",+380 70 228 16 21,skybaivan@example.net
Титаренко,Леонтій,Юрійович,Чоловіча,1954-12-27,Нотаріус,селище Марганець ,"сквер 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 29, Новогродівка, 12464",871 77 27,vasylenkodmytro@example.com
Микитюк,Михайло,Іванович,Чоловіча,1946-04-21,Штукатур,село Кальміуське,"шосе Бессарабська, буд. 416 кв. 1, Амвросіївка, 06672",052 823-78-81,hryhorii24@example.org
Бараник,Аліна,Олександрівна,Жіноча,1969-12-22,Кінокритик,місто Скалат,"набережна Старокінний, буд. 70, Слов'янськ, 46567",093 042-47-19,ielysei74@example.org
Шахрай,Лариса,Володимирівна,Жіноча,1988-05-12,Письменник,хутір Глухів,"площа Вапняний 2-й, буд. 378, Кролевець, 01085",088 566 36 14,vvakulenko@example.org
Пʼятаченко,Омелян,Сергійович,Чоловіча,1977-11-03,Економіст,місто Дебальцеве,"провулок Дорожня, буд. 980, Привілля, 24035",033 018 46 49,nkorbut@example.com
Міщенко,Пантелеймон,Олександрович,Чоловіча,1985-01-11,Палеонтолог,село Носівка,"узвіз Килимовий, буд. 4, Білогірськ, 86360",+380 91 770-79-92,aaron51@example.net
Жук,Марія,Олександрівна,Жіноча,1989-10-27,Хімік,місто Марганець ,"проспект Більшовицький, буд. 233 кв. 060, Бершадь, 93670",+380 39 006-36-56,ilienkoboryslav@example.net
Гузій,Тимофій,Степанович,Чоловіча,1951-03-19,Хореограф,хутір Алмазна,"площа Старопортофранківська, буд. 372 кв. 8, Красилів, 63009",082 395-61-91,milena13@example.com
Абраменко,Святослава,Олександрівна,Жіноча,1978-02-04,Хімік,місто Бібрка,"узвіз Райдужна, буд. 13, Бровари, 26140",064 067 63 13,oivanychuk@example.org
Хмара,Людмила,Іванівна,Жіноча,1990-12-22,Доцент,місто Славутич,"провулок Крижанівський, буд. 8, Жовті Води, 52692",734-72-08,tovstukhavarvara@example.org
Філіпенко,Лариса,Макарівна,Жіноча,1979-10-20,Журналіст,місто Скалат,"площа Градоначальницька, буд. 3 кв. 861, Шумськ, 90108",069-29-53,iurchenkoanita@example.com
Швачко,Франц,Миколайович,Чоловіча,1942-12-15,Няня,село Вознесенськ,"набережна Люстдорфська дорога, буд. 393 кв. 97, Скалат, 40449",+380 89 483-40-03,vvyshniak@example.org
Деревʼянко,Спас,Юрійович,Чоловіча,1966-03-12,Педагог,хутір Тисмениця,"вулиця Хімічна, буд. 381 кв. 0, Ізмаїл, 44890",+380 (24) 474-13-13,leopold03@example.org
Носенко,Назар,Леонідович,Чоловіча,1948-12-13,Кур'єр,хутір Тячів,"вулиця Андросовський, буд. 06, Молочанськ, 93739",+380 81 279-94-57,panasdanchenko@example.org
Голобородько,Онисим,Петрович,Чоловіча,1997-05-12,Клоун,селище Новоград-Волинський,"парк Степана Разіна, буд. 7 кв. 428, Радивилів, 08790",+380 (68) 083-35-95,khrystyna22@example.net
Корбут,Орест,Олександрович,Чоловіча,1957-06-19,Журналіст,хутір Тиврів,"парк Вапняний 2-й, буд. 8, Косів, 06631",+380 38 586 76 65,mshelest@example.net
Килимник,Олена,Іванівна,Жіноча,1958-05-02,Фрілансер,село Ржищів,"вулиця Травневий, буд. 22, Косів, 26527",354 33 08,illia97@example.org
Батіг,Одарка,Юріївна,Жіноча,1982-12-10,Намотувальник,місто Вишгород,"парк Василя Кандинського 1-й, буд. 5 кв. 4, Моспине, 96055",128-12-86,liliia38@example.net
Приймак,Ігор,Євгенович,Чоловіча,1954-01-25,Педагог,село Південне ,"вулиця Восьмого Березня Лінія 3-тя, буд. 2 кв. 3, Южне, 10886",011 899 25 34,uabramchuk@example.net
Девдюк,Лілія,Володимирівна,Жіноча,1964-08-05,Стропальник,хутір Старокостянтинів,"проспект Магнітогорський, буд. 19 кв. 075, Новий Буг, 90202",047 360 09 74,valeriiduplii@example.net
Дашкевич,Людмила,Федорівна,Жіноча,2006-06-29,Бібліограф,хутір Благовіщенське,"площа Плієва, буд. 8, Кременчук, 09662",030 588 19 85,tsymbaliuklevko@example.net
Швачко,Михайло,Іванович,Чоловіча,1992-12-21,Гірник,село Кальміуське,"вулиця Семафорний, буд. 121 кв. 33, Федорівка, 05858",+380 33 827-35-63,olenahavrylenko@example.com
Полтавець,Марта,Григорівна,Жіноча,1983-01-05,Програміст,село Часів Яр,"набережна Весела, буд. 2, Сокиряни, 91229",193-18-86,martemenko@example.net
Ящук,Амалія,Іванівна,Жіноча,1975-02-08,Геолог,хутір Ланівці,"провулок Пересипська 1-ша, буд. 3 кв. 89, Тлумач, 77196",+380 (67) 869-07-81,avhustyndankevych@example.com
Вівчаренко,Мирон,Олександрович,Чоловіча,1991-02-02,Етнограф,село Олевськ,"парк Любашівський, буд. 581 кв. 002, Новоукраїнка, 85400",+380 52 005-49-80,eatamanchuk@example.org
Онищенко,Леопольд,Олегович,Чоловіча,1964-03-22,Євнух,село Зоринськ,"сквер Західний 1-й, буд. 63, Новоселиця, 95576",063 197 35 90,isimashkevych@example.com
Дахно,Христина,Богданівна,Жіноча,1979-08-31,Астрофізик,хутір Борислав,"парк Дюківський сад, буд. 7, Алупка, 59750",005 14 46,larysa60@example.org
Щербань,Левко,Макарович,Чоловіча,1940-11-27,Водій,хутір Липовець,"узвіз Володі Дубініна, буд. 3 кв. 11, Корець, 13948",091 472 22 17,iruban@example.com
Гайдай,Едита,Дмитрівна,Жіноча,1947-07-10,Професор,хутір Приморськ (Україна),"шосе Лінія 29-та, буд. 90 кв. 8, Конотоп, 59217",571 18 34,dziubamariia@example.net
Ляшко,Адам,Григорович,Чоловіча,1978-01-01,Перекладач,селище Гуляйполе,"парк Казанська, буд. 1, Тернопіль, 42670",+380 24 840-74-63,shakhraibohdanna@example.org
Бездітко,Маруся,Андріївна,Жіноча,2005-05-09,Актор,селище Підгайці,"проспект Гладкова, буд. 195, Балта, 39898",050 601-97-73,ustympelekh@example.net
Ковалюк,Назар,Петрович,Чоловіча,1971-06-06,Бібліограф,селище Новий Калинів,"площа Наявний 4-й, буд. 9, Добропілля, 03697",+380 37 240-92-45,azartryhub@example.net
Юрчук,Орхип,Юрійович,Чоловіча,1948-02-21,Модельєр,хутір Авдіївка,"вулиця Асташкіна, буд. 3, Березань , 90362",+380 61 868 84 91,symonenkooleh@example.net
Чарниш,Ада,Михайлівна,Жіноча,2004-10-29,Нотаріус,хутір Южноукраїнськ,"узвіз 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 072, Лисичанськ, 79420",290-09-94,lchuiko@example.com
Сиротенко,Ярина,Василівна,Жіноча,1980-07-18,Фармацевт,селище Антрацит ,"провулок Лиманчик 2-й Лінія 2-га, буд. 783 кв. 5, Березівка, 60148",+380 07 110 35 05,iustymhrytsenko@example.net
Скорик,Нестор,Романович,Чоловіча,1994-01-23,Фізик,село Долинська,"вулиця Елеваторна, буд. 425 кв. 663, Овруч, 64135",+380 96 409 25 46,demian01@example.com
Артимишин,Надія,Сергіївна,Жіноча,1989-06-08,Правник,село Олександрія,"набережна Лінія 45-та, буд. 002, Скадовськ, 17716",+380 18 581-33-86,bdrobakha@example.net
Ґерус,Олесь,Іванович,Чоловіча,2005-07-23,Фермер,село Мостиська,"набережна Академіка Гаркавого, буд. 92, Моспине, 32109",758 39 07,sdakhno@example.org
Пилипенко,Микита,Богданович,Чоловіча,1970-12-01,Соціолог,селище Новомиргород,"шосе Грузинська, буд. 90, Глиняни, 31079",+380 81 578-33-87,ltalan@example.org
Ніколюк,Орест,Євгенович,Чоловіча,1993-04-10,Гицель,селище Шостка,"набережна Теліги Олени, буд. 854, Яготин, 19045",+380 84 856 95 07,yhaievska@example.org
Хомик,Амалія,Степанівна,Жіноча,1944-11-10,Психолог,хутір Гола Пристань,"набережна Шилова, буд. 3, Вознесенськ, 29750",093 736-41-55,daleksandrenko@example.com
Кириленко,Аарон,Петрович,Чоловіча,1947-02-13,Акушер,село Іршава,"провулок Кощового отамана, буд. 84 кв. 36, Сорокине, 17303",+380 (17) 935-42-47,drobakhaokhrim@example.org
Шило,Орест,Сергійович,Чоловіча,1952-05-09,Бухгалтер,місто Старокостянтинів,"площа Килимовий, буд. 73, Ківерці, 84257",024 811 58 37,opanas14@example.org
Величко,Теодор,Петрович,Чоловіча,2006-07-17,Геофізик,село Докучаєвськ,"площа Рульовий, буд. 448 кв. 6, Гуляйполе, 60715",+380 (37) 695-15-09,anita89@example.com
Чумак,Юстим,Федорович,Чоловіча,1992-07-06,Живописець,хутір Суходільськ,"узвіз Привокзальна, буд. 8, Ланівці, 44571",363-91-38,corlyk@example.net
Удовенко,Демид,Олександрович,Чоловіча,2001-10-05,Мовознавець,хутір Стрий,"набережна Лїнія 1-ша, буд. 09 кв. 59, Алупка, 53859",+380 (32) 294-33-69,ostapchukiosyp@example.com
Ярема,Азар,Юрійович,Чоловіча,1977-03-15,Хімік,село Арциз,"узвіз Чорноморський 3-й, буд. 46, Гуляйполе, 40261",428-22-87,stanislavhaidenko@example.com
Шовкопляс,Назар,Романович,Чоловіча,1998-01-14,Маркетолог,місто Нова Каховка,"сквер Ашгабатська, буд. 860 кв. 3, Білогірськ, 90604",+380 (63) 252-63-46,adadrozdenko@example.net
Макаренко,Франц,Сергійович,Чоловіча,1974-05-11,Паблік рилейшнз,село Козятин,"вулиця Дачна, буд. 668, Білицьке, 19593",036 936 26 32,orysiasirko@example.org
Носаченко,Ада,Олександрівна,Жіноча,1939-07-24,Редактор,селище Корець,"шосе 9-та Лінія Дачі Ковалевського, буд. 515, Курахове, 06465",305-48-35,makar93@example.com
Бабʼюк,Ада,Михайлівна,Жіноча,1966-02-17,Епідеміолог,місто Надвірна,"узвіз Станційна 3-тя, буд. 046, Старий Крим, 38148",052 398-50-20,shamraiiaroslav@example.com
Вакуленко,Охрім,Петрович,Чоловіча,1946-09-28,Географ,хутір Вашківці,"проспект Дюківський сад, буд. 452 кв. 257, Хорол , 98745",+380 16 709-85-55,vakarchukbohuslava@example.com
Цюпа,Віталій,Євгенович,Чоловіча,1989-10-19,Няня,місто Хрестівка,"парк Каштанова, буд. 89, Дрогобич, 02535",098 170 09 03,stanislavsirchenko@example.com
Дрозд,Микита,Григорович,Чоловіча,2006-06-07,Хореограф,місто Селидове,"площа Парковий, буд. 31 кв. 6, Первомайський , 86585",006 375 13 56,oleksandraleksiuk@example.org
Зінчук,Едита,Олегівна,Жіноча,1998-03-31,Ді-джей,місто Ладижин,"сквер Деволанівська, буд. 40, Тячів, 10242",+380 (08) 625-60-13,tgerus@example.net
Кабалюк,Ілля,Петрович,Чоловіча,1949-04-24,Фармацевт,хутір Рахів,"набережна Гена Іоганна, буд. 1 кв. 424, Дергачі, 46202",185 46 33,piakymchuk@example.org
Пустовіт,Опанас,Євгенович,Чоловіча,1949-10-18,Євнух,місто Кагарлик,"проспект Молодогвардійська, буд. 209 кв. 5, Бахчисарай, 16062",663 54 82,hverhun@example.net
Запорожець,Едита,Олександрівна,Жіноча,1963-06-01,Палеонтолог,селище Збараж,"провулок Далекосхідна, буд. 45 кв. 104, Тисмениця, 02681",068 491 19 64,dveres@example.com
Ажажа,Костянтин,Григорович,Чоловіча,2001-11-08,Кіноактор,село Алупка,"парк Хімічний 2-й, буд. 558, Старокостянтинів, 12216",552-37-74,jbandurka@example.com
Рубан,Едуард,Богданович,Чоловіча,1971-04-14,Водій,село Городище ,"проспект Сумський, буд. 866 кв. 76, Алмазна, 21145",+380 72 037 39 27,vladyslav28@example.net
Артимович,Альбіна,Федорівна,Жіноча,1991-06-24,Краєзнавець,селище Звенигородка,"провулок Соляна, буд. 6, Житомир, 08150",087 741 60 01,mrebryk@example.org
Яремків,Антон,Олегович,Чоловіча,1966-08-22,Композитор,село Суходільськ,"провулок Артилерійський 2-й, буд. 95 кв. 911, Радомишль, 14530",+380 19 340-08-59,odarka66@example.org
Фастенко,Святослава,Михайлівна,Жіноча,1981-12-05,Письменник,місто Керч,"площа Проектований 3-й, буд. 21, Калуш, 85206",812-48-88,imoskal@example.com
Юрчишин,Едита,Олегівна,Жіноча,2000-10-02,Паблік рилейшнз,місто Олександрія,"сквер Лазурний 6-й, буд. 3, Немирів, 80854",355 39 46,andriiorlyk@example.net
Алексюк,Ростислав,Юрійович,Чоловіча,1943-09-14,Програміст,село Фастів,"шосе Бехтерєва, буд. 8, Феодосія, 89210",+380 27 634 70 94,rpavlenko@example.net
Зарудний,Орест,Іванович,Чоловіча,2004-02-22,Кінолог,село Благовіщенське,"узвіз Маринеско узвіз, буд. 46 кв. 203, Чернівці, 20888",634-13-63,mchekaliuk@example.net
Атрощенко,Кирило,Олександрович,Чоловіча,1988-08-10,Хімік,місто Кобеляки,"сквер Житкова, буд. 333, Севастополь, 26941",813 60 40,averkhovynets@example.org
Яценюк,Віталій,Макарович,Чоловіча,1965-08-15,Астроном,хутір Надвірна,"набережна Слєпньова, буд. 250 кв. 898, Деражня, 68100",199-33-89,venedyktdanylchuk@example.net
Лупій,Леонтій,Євгенович,Чоловіча,1957-05-18,Архітектор,місто Почаїв,"вулиця Проценка, буд. 06 кв. 2, Рахів, 89911",+380 86 637-48-17,pelekhliudmyla@example.org
Ірванець,Назар,Романович,Чоловіча,1947-09-21,Єгер,селище Краматорськ,"узвіз Джерельна, буд. 155, Ворожба, 74284",404 68 13,kalchenkonadiia@example.com
Іванченко,Богдан,Васильович,Чоловіча,1983-03-21,Письменник,селище Комарно,"проспект Конструкторський, буд. 78, Жовті Води, 90144",489-50-38,ihnatdanko@example.com
Литвиненко,Герман,Сергійович,Чоловіча,1998-07-11,Парфюмер,село Роздільна,"шосе Сонячна, буд. 904, Почаїв, 53405",595-62-41,otelizhenko@example.org
Шаповал,Прохір,Олександрович,Чоловіча,1951-05-04,Намотувальник,село Ірміно,"вулиця Олександра Невського 2-й, буд. 210, Сулимівка (Слов'янськ), 03512",+380 14 562-26-75,orynazasukha@example.net
Адамчук,Леонід,Федорович,Чоловіча,1990-05-06,Науковець,селище Новомиргород,"площа Китобійний 1-й, буд. 1, Красноперекопськ, 11297",+380 96 167 50 27,tnazarenko@example.com
Балабан,Юстина,Богданівна,Жіноча,1967-04-27,Фермер,село Вишгород,"узвіз Зернова, буд. 4 кв. 597, Вознесенівка, 19534",+380 69 783-22-28,havryshkevycherika@example.com
Лагода,Ада,Андріївна,Жіноча,1942-12-15,Маркетолог,хутір Карлівка,"парк Грузовий, буд. 069, Носівка, 26046",+380 (35) 321-40-51,atkachenko@example.org
Єщенко,Олесь,Романович,Чоловіча,1974-01-18,Клавішник,село Могилів-Подільський,"площа Леваневського, буд. 51, Василівка , 41315",131-11-16,chumachenkoaaron@example.net
Дубенко,Прохір,Євгенович,Чоловіча,1987-12-15,Програміст,село Прип'ять ,"сквер Академіка Гаркавого, буд. 6 кв. 395, Звенигородка, 65436",051 457 05 51,zubkobohuslava@example.org
Іваненко,Тетяна,Євгенівна,Жіноча,1997-02-08,Модельєр,місто Броди,"провулок Нежданової, буд. 0 кв. 876, Фастів, 90721",033 886 08 42,chabanarkadii@example.net
Акименко,Григорій,Юрійович,Чоловіча,1975-09-04,Фермер,хутір Костопіль,"парк 11-та Суворовська, буд. 23 кв. 8, Жашків, 59473",083 745-89-80,orysiamykytiuk@example.com
Джунь,Микита,Васильович,Чоловіча,1941-08-10,Мінералог,місто Богуслав,"площа Авіаційна, буд. 37, Радехів, 98552",+380 37 716-33-81,svitlanaishchenko@example.net
Сич,Христина,Леонідівна,Жіноча,1999-09-14,Електротехнік,хутір Березівка,"площа Дальницьке, буд. 7 кв. 38, Тальне, 89651",+380 (43) 387-34-07,ihnatlavrenko@example.org
Жадан,Ярослав,Володимирович,Чоловіча,1979-07-03,Електротехнік,місто Щолкіне,"шосе Чубаївський, буд. 294 кв. 630, Кам'янка-Дніпровська, 66899",+380 06 400 43 89,demyd46@example.net
Лубенець,Іван,Степанович,Чоловіча,1954-06-22,Композитор,місто Львів,"провулок Топольського, буд. 9, Валки , 01298",+380 86 285-43-58,stepan48@example.com
Сагаль,Гаврило,Михайлович,Чоловіча,1971-09-14,Живописець,хутір Бершадь,"парк Дубова, буд. 085, Новий Калинів, 03210",219-17-71,kamillaskopenko@example.com
Бандера,Алла,Федорівна,Жіноча,1944-12-17,Електротехнік,село Моспине,"парк Кладовищенська, буд. 658 кв. 2, Долина , 36771",+380 11 562-68-69,aaleksiichuk@example.net
Зінченко,Альберт,Леонідович,Чоловіча,1943-07-31,Палеонтолог,хутір Ізюм,"провулок Ф. Пішеніна, буд. 894 кв. 87, Полонне, 39090",+380 46 636-15-08,ruslan82@example.net
Калениченко,Нестор,Федорович,Чоловіча,1959-11-20,Професор,хутір Бобровиця,"сквер Висока, буд. 969 кв. 9, Інкерман, 32514",+380 81 277-51-22,liubov43@example.net
Пелех,Олена,Олександрівна,Жіноча,1987-08-23,Кінокритик,село Соснівка ,"парк Ванцетті, буд. 4, Селидове, 46781",+380 11 923-02-69,tovstukhastanislav@example.com
Деревʼянко,Марина,Євгенівна,Жіноча,1994-02-08,М'ясник,хутір Гайсин,"провулок Літня, буд. 3, Миколаївка , 45168",031 441 16 86,ihor00@example.com
Байда,Онисим,Петрович,Чоловіча,1999-02-19,Музикознавець,селище Зміїв,"проспект Косвена, буд. 0 кв. 39, Гребінка, 19062",+380 33 471-19-89,odarka02@example.net
Бабʼяк,Амалія,Дмитрівна,Жіноча,1940-08-03,Кухар,село Бурштин ,"парк Жасминна, буд. 41, Шаргород, 95671",064 135 72 12,kabanenkoiaryna@example.com
Євдокименко,Юстина,Богданівна,Жіноча,1957-08-15,Публіцист,село Краматорськ,"сквер Утьосова, буд. 0, Новодністровськ, 76872",+380 87 202-27-14,iefremivanchenko@example.com
Ватаманюк,Алла,Петрівна,Жіноча,1982-06-05,Науковець,селище Чорноморськ,"шосе Історія Футболу, буд. 745, Білозерське, 06955",+380 (10) 462-68-68,ievakarpa@example.net
Власюк,Ганна,Сергіївна,Жіноча,1971-06-30,Фізик,місто Білгород-Дністровський,"узвіз Літакова, буд. 4, Дубровиця, 44672",+380 98 697-95-18,syrotenkotymofii@example.org
Венгринович,Соломія,Олегівна,Жіноча,1955-02-19,Мовознавець,хутір Березне,"сквер Нафтовиків, буд. 59 кв. 450, Антрацит , 74034",023 438 01 87,alla40@example.org
Журавель,Ада,Григорівна,Жіноча,1965-11-22,Музичний редактор,місто Іршава,"набережна Бодаревського, буд. 25, Новомосковськ, 84166",+380 36 194-64-07,telizhenkoleon@example.com
Свистун,Дарина,Макарівна,Жіноча,1995-11-05,Гінеколог,хутір Хмільник,"узвіз Докова, буд. 88, Рава-Руська, 04019",762-86-59,spas47@example.com
Єрьоменко,Богуслав,Романович,Чоловіча,1992-10-05,Парфюмер,село П'ятихатки,"вулиця Ананьївська, буд. 988, Арциз, 77011",+380 38 120 99 94,kalenychenkohennadii@example.net
Христенко,Василина,Василівна,Жіноча,1993-09-13,Редактор,селище Чоп,"парк Новомосковська дорога, буд. 864 кв. 26, Новоукраїнка, 78703",171 67 22,dutkaolha@example.org
Юрченко,Анжела,Петрівна,Жіноча,1988-05-15,Будник,селище Червоносів,"парк Молокова, буд. 31, Очаків, 79111",001 739-89-44,viacheslavreva@example.com
Ємець,Володимира,Петрівна,Жіноча,1973-11-30,Флорист,село Євпаторія,"провулок Моторна, буд. 099 кв. 577, Золоте, 74460",049 608 34 94,orest61@example.com
Ярема,Ілля,Миколайович,Чоловіча,1956-09-14,Футболіст,село Здолбунів,"шосе Марії Демченко, буд. 3 кв. 758, Підгайці, 03178",+380 48 199 85 89,hordiiverkhovynets@example.net
Демʼянчук,Григорій,Богданович,Чоловіча,1941-06-06,Реставратор,місто Ровеньки,"узвіз Рибальська балка, буд. 425 кв. 4, Сіверськ, 54519",+380 73 733-06-43,ielysei90@example.com
Бабиченко,Алевтин,Юрійович,Чоловіча,2004-06-23,Літературознавець,місто Київ,"вулиця Одарія, буд. 2 кв. 14, Дружба , 30214",053 385 09 67,nataliiavdovenko@example.org
Примаченко,Богуслав,Степанович,Чоловіча,1991-10-07,Реставратор,селище Таврійськ,"набережна Дем’янова, буд. 6, Хорол , 95313",+380 (98) 456-44-01,sviatoslavromanets@example.net
Фартушняк,Марина,Василівна,Жіноча,1974-06-02,Євнух,хутір Голубівка,"проспект Майстерний, буд. 6 кв. 895, Городище , 53708",+380 89 299-45-36,bohodar80@example.com
Саченко,Віра,Романівна,Жіноча,1976-11-27,Євнух,місто Боково-Хрустальне,"парк Черепанових, буд. 528 кв. 77, Вугледар, 68754",+380 (41) 003-51-30,ohavryshkevych@example.org
Башполченко,Пріска,Сергіївна,Жіноча,1953-12-28,Географ,село Почаїв,"парк Бессарабська, буд. 52 кв. 812, Донецьк, 79616",+380 (62) 976-06-35,holoborodkotereza@example.org
Тесленко,Богуслава,Богданівна,Жіноча,1999-05-21,Водій,селище Севастополь,"шосе Малиновський, буд. 956, Первомайськ, 15326",071 717 31 48,uromanchuk@example.com
Артеменко,Анастасія,Петрівна,Жіноча,1956-11-18,Реабілітолог,хутір Немирів,"узвіз Гранатна, буд. 99, Ізмаїл, 03537",+380 (16) 889-92-14,hupalovolodymyr@example.com
Мамчур,Єлисей,Григорович,Чоловіча,1952-06-15,Краєзнавець,селище Тетіїв,"площа П'ята, буд. 073 кв. 67, Керч, 56677",037 326-53-18,maksymprokopovych@example.net
